Date/Time,city,Lat,Lon,zone_landmark,Base
2024-04-26 16:25:10,chennai,13.023896,80.20216,guindy_kathipara,RAPIDO_01
2024-04-26 19:11:24,chennai,12.977407,80.249465,omr_it_corridor,RAPIDO_01
2024-04-28 06:32:10,chennai,13.042275,80.233975,t_nagar,OLA_BIKE_02
2024-04-20 14:12:23,chennai,13.093115,80.193601,cmbt_anna_nagar,OLA_AUTO_01
2024-04-02 06:37:48,chennai,12.968956,80.263953,omr_it_corridor,RAPIDO_01
2024-04-09 11:23:00,chennai,12.981127,80.1945,velachery,OLA_BIKE_02
2024-04-26 20:41:29,chennai,12.947903,80.244615,omr_it_corridor,RAPIDO_01
2024-04-19 04:06:46,chennai,13.073257,80.284045,chennai_central,OLA_BIKE_02
2024-04-24 04:27:54,chennai,12.969309,80.22897,velachery,OLA_BIKE_02
2024-04-14 03:34:34,chennai,12.987772,80.244645,omr_it_corridor,OLA_BIKE_01
2024-04-27 07:12:35,chennai,13.070558,80.276637,chennai_central,OLA_AUTO_01
2024-04-15 08:25:11,chennai,12.978393,80.22445,velachery,OLA_BIKE_01
2024-04-04 05:16:07,chennai,13.099116,80.252908,chennai_central,OLA_AUTO_01
2024-04-25 17:57:22,chennai,13.053794,80.225007,t_nagar,OLA_BIKE_02
2024-04-04 19:29:25,chennai,13.023267,80.170166,guindy_kathipara,OLA_AUTO_01
2024-04-10 02:40:01,chennai,13.109467,80.266638,chennai_central,RAPIDO_01
2024-04-16 20:40:55,chennai,12.960477,80.234313,velachery,OLA_BIKE_01
2024-04-21 10:48:11,chennai,13.09114,80.216898,cmbt_anna_nagar,OLA_BIKE_02
2024-04-04 18:51:09,chennai,13.052955,80.234646,t_nagar,OLA_BIKE_01
2024-04-22 03:06:13,chennai,12.960989,80.226909,omr_it_corridor,OLA_BIKE_02
2024-04-10 03:55:43,chennai,12.973634,80.213028,velachery,OLA_AUTO_01
2024-04-02 04:42:35,chennai,12.9644,80.245994,omr_it_corridor,OLA_AUTO_01
2024-04-15 14:45:52,chennai,12.995848,80.20949,velachery,RAPIDO_01
2024-04-27 09:52:11,chennai,12.962807,80.237769,omr_it_corridor,RAPIDO_01
2024-04-17 03:47:05,chennai,13.065865,80.314376,chennai_central,RAPIDO_01
2024-04-18 00:28:05,chennai,13.071466,80.276241,chennai_central,OLA_BIKE_02
2024-04-12 10:50:36,chennai,13.027103,80.183409,guindy_kathipara,OLA_BIKE_02
2024-04-16 03:09:31,chennai,13.052313,80.211009,t_nagar,OLA_BIKE_02
2024-04-30 21:36:24,chennai,13.075371,80.21852,cmbt_anna_nagar,OLA_BIKE_01
2024-04-11 14:44:00,chennai,13.003427,80.223818,guindy_kathipara,OLA_BIKE_01
2024-04-18 22:12:42,chennai,13.084242,80.278515,chennai_central,RAPIDO_01
2024-04-27 02:04:42,chennai,13.033522,80.218522,t_nagar,OLA_BIKE_02
2024-04-23 05:11:26,chennai,13.027929,80.220076,t_nagar,RAPIDO_01
2024-04-08 13:53:31,chennai,12.966661,80.238056,velachery,OLA_AUTO_01
2024-04-07 02:23:55,chennai,13.011541,80.182834,guindy_kathipara,RAPIDO_01
2024-04-08 12:02:23,chennai,13.077758,80.270245,chennai_central,RAPIDO_01
2024-04-18 08:55:42,chennai,13.077001,80.234229,t_nagar,RAPIDO_01
2024-04-01 18:15:25,chennai,12.969944,80.229414,omr_it_corridor,OLA_AUTO_01
2024-04-01 23:30:54,chennai,13.050448,80.254807,t_nagar,OLA_BIKE_01
2024-04-12 00:47:57,chennai,12.97319,80.229932,velachery,OLA_AUTO_01
2024-04-23 14:52:34,chennai,12.971406,80.245342,omr_it_corridor,OLA_BIKE_01
2024-04-28 23:09:42,chennai,13.057292,80.22212,t_nagar,OLA_AUTO_01
2024-04-28 10:31:30,chennai,12.964534,80.220767,velachery,RAPIDO_01
2024-04-29 02:33:08,chennai,12.96002,80.200628,omr_it_corridor,RAPIDO_01
2024-04-07 02:42:58,chennai,12.955724,80.212349,omr_it_corridor,OLA_AUTO_01
2024-04-30 22:30:44,chennai,13.037953,80.244799,t_nagar,OLA_BIKE_02
2024-04-16 02:36:56,chennai,12.97565,80.222701,velachery,OLA_BIKE_02
2024-04-30 18:00:06,chennai,12.962633,80.247475,omr_it_corridor,OLA_BIKE_02
2024-04-29 07:36:49,chennai,13.075699,80.228818,t_nagar,OLA_BIKE_02
2024-04-17 23:08:09,chennai,13.082541,80.257732,chennai_central,OLA_AUTO_01
