datetime,rain_1h,visibility,pressure,is_holiday,is_weekend
2024-01-01 00:00:00,0.0,9871.0,1016.1,1,0
2024-01-01 01:00:00,3.89,8784.3,1017.7,1,0
2024-01-01 02:00:00,0.0,8948.4,1018.3,1,0
2024-01-01 03:00:00,0.0,8843.2,1012.4,1,0
2024-01-01 04:00:00,0.0,8561.1,1011.2,1,0
2024-01-01 05:00:00,0.0,9790.1,1010.1,1,0
2024-01-01 06:00:00,0.0,8664.5,1009.6,1,0
2024-01-01 07:00:00,0.0,9157.2,1013.2,1,0
2024-01-01 08:00:00,0.0,8480.1,1012.2,1,0
2024-01-01 09:00:00,0.0,9594.8,1009.1,1,0
2024-01-01 10:00:00,0.0,9548.4,1007.5,1,0
2024-01-01 11:00:00,1.07,8592.6,1012.7,1,0
2024-01-01 12:00:00,0.0,9363.1,1011.1,1,0
2024-01-01 13:00:00,0.0,9407.7,1007.5,1,0
2024-01-01 14:00:00,0.0,9125.0,1017.4,1,0
2024-01-01 15:00:00,0.0,9201.2,1022.1,1,0
2024-01-01 16:00:00,0.0,9148.9,1018.1,1,0
2024-01-01 17:00:00,0.0,8163.7,1009.6,1,0
2024-01-01 18:00:00,0.0,9340.5,1013.0,1,0
2024-01-01 19:00:00,0.0,8939.6,1021.0,1,0
2024-01-01 20:00:00,0.0,8876.9,1007.4,1,0
2024-01-01 21:00:00,0.0,9720.0,1017.2,1,0
2024-01-01 22:00:00,0.0,8046.5,1006.0,1,0
2024-01-01 23:00:00,0.0,8502.6,1021.7,1,0
2024-01-02 00:00:00,0.0,8242.8,1011.1,0,0
2024-01-02 01:00:00,0.0,8070.7,1024.4,0,0
2024-01-02 02:00:00,0.0,8551.4,1021.9,0,0
2024-01-02 03:00:00,0.0,9977.0,1012.7,0,0
2024-01-02 04:00:00,0.0,8540.5,1009.7,0,0
2024-01-02 05:00:00,0.0,9327.4,1014.2,0,0
2024-01-02 06:00:00,0.0,8236.6,1012.3,0,0
2024-01-02 07:00:00,0.0,9203.7,1011.2,0,0
2024-01-02 08:00:00,0.0,9969.0,1005.0,0,0
2024-01-02 09:00:00,4.41,8583.7,1010.7,0,0
2024-01-02 10:00:00,2.01,9696.2,1007.7,0,0
2024-01-02 11:00:00,0.0,9995.1,1016.0,0,0
2024-01-02 12:00:00,0.0,9177.1,1018.2,0,0
2024-01-02 13:00:00,0.0,8618.8,1017.0,0,0
2024-01-02 14:00:00,0.0,9347.1,1015.0,0,0
2024-01-02 15:00:00,0.0,9689.7,1009.0,0,0
2024-01-02 16:00:00,0.0,8342.7,1014.3,0,0
2024-01-02 17:00:00,0.0,8905.0,1017.2,0,0
2024-01-02 18:00:00,0.0,8638.4,1010.3,0,0
2024-01-02 19:00:00,0.0,8566.7,1013.8,0,0
2024-01-02 20:00:00,0.0,9721.6,1012.5,0,0
2024-01-02 21:00:00,0.0,8843.3,1021.6,0,0
2024-01-02 22:00:00,0.0,8678.2,1017.5,0,0
2024-01-02 23:00:00,0.0,9207.0,1016.3,0,0
2024-01-03 00:00:00,0.0,8438.8,1004.7,0,0
2024-01-03 01:00:00,0.0,8459.8,1014.1,0,0
2024-01-03 02:00:00,0.79,9040.6,1012.5,0,0
2024-01-03 03:00:00,0.0,8818.5,1012.4,0,0
2024-01-03 04:00:00,6.54,1953.2,1005.4,0,0
2024-01-03 05:00:00,0.0,8107.9,1007.8,0,0
2024-01-03 06:00:00,0.0,9041.5,1012.9,0,0
2024-01-03 07:00:00,4.32,9633.2,1018.8,0,0
2024-01-03 08:00:00,0.0,9702.8,1010.3,0,0
2024-01-03 09:00:00,0.0,8470.9,1011.3,0,0
2024-01-03 10:00:00,0.0,9199.3,1022.2,0,0
2024-01-03 11:00:00,0.0,9711.8,1011.8,0,0
2024-01-03 12:00:00,0.0,8817.5,1012.6,0,0
2024-01-03 13:00:00,0.0,9864.3,1012.7,0,0
2024-01-03 14:00:00,0.0,9806.0,1006.5,0,0
2024-01-03 15:00:00,0.0,8416.3,1016.1,0,0
2024-01-03 16:00:00,0.0,8517.9,1010.0,0,0
2024-01-03 17:00:00,0.0,8360.9,1013.1,0,0
2024-01-03 18:00:00,0.0,8392.1,1015.5,0,0
2024-01-03 19:00:00,0.0,9815.7,1023.0,0,0
2024-01-03 20:00:00,0.0,9862.3,1006.7,0,0
2024-01-03 21:00:00,1.06,8103.8,1017.6,0,0
2024-01-03 22:00:00,0.0,9187.2,1017.6,0,0
2024-01-03 23:00:00,0.0,9128.5,1010.1,0,0
2024-01-04 00:00:00,0.0,8781.1,1016.2,0,0
2024-01-04 01:00:00,0.0,9263.4,1021.5,0,0
2024-01-04 02:00:00,0.0,9894.7,1009.4,0,0
2024-01-04 03:00:00,0.0,8340.5,1014.5,0,0
2024-01-04 04:00:00,0.0,8240.8,1015.3,0,0
2024-01-04 05:00:00,0.0,8066.8,1015.9,0,0
2024-01-04 06:00:00,0.0,8727.7,1017.1,0,0
2024-01-04 07:00:00,0.0,8675.3,1014.1,0,0
2024-01-04 08:00:00,0.0,8861.6,1015.8,0,0
2024-01-04 09:00:00,0.0,9006.6,1008.7,0,0
2024-01-04 10:00:00,0.0,9515.6,1014.1,0,0
2024-01-04 11:00:00,0.0,8784.2,1010.9,0,0
2024-01-04 12:00:00,0.0,8661.2,1007.1,0,0
2024-01-04 13:00:00,0.0,9653.8,1010.7,0,0
2024-01-04 14:00:00,0.0,9699.6,1014.6,0,0
2024-01-04 15:00:00,0.0,8465.5,1015.4,0,0
2024-01-04 16:00:00,0.0,8629.3,1006.9,0,0
2024-01-04 17:00:00,0.0,9650.2,1008.6,0,0
2024-01-04 18:00:00,0.0,8158.8,1016.9,0,0
2024-01-04 19:00:00,0.0,8651.7,1015.8,0,0
2024-01-04 20:00:00,0.0,8896.7,1017.7,0,0
2024-01-04 21:00:00,0.0,8374.1,1020.1,0,0
2024-01-04 22:00:00,0.0,8359.8,1015.9,0,0
2024-01-04 23:00:00,0.0,8849.7,1011.2,0,0
2024-01-05 00:00:00,0.0,9509.0,1013.8,0,0
2024-01-05 01:00:00,0.0,9680.5,1021.5,0,0
2024-01-05 02:00:00,0.0,9958.5,1027.1,0,0
2024-01-05 03:00:00,0.0,8148.0,1015.6,0,0
2024-01-05 04:00:00,0.0,8433.4,1015.9,0,0
2024-01-05 05:00:00,0.0,9513.3,1016.9,0,0
2024-01-05 06:00:00,0.0,9081.2,1013.4,0,0
2024-01-05 07:00:00,0.0,8655.4,1019.1,0,0
2024-01-05 08:00:00,0.0,8411.2,1018.3,0,0
2024-01-05 09:00:00,0.0,8561.0,1015.0,0,0
2024-01-05 10:00:00,0.0,8858.6,1011.7,0,0
2024-01-05 11:00:00,0.0,8354.3,1005.6,0,0
2024-01-05 12:00:00,0.0,9928.5,1016.9,0,0
2024-01-05 13:00:00,0.0,8215.2,1014.3,0,0
